,,,,Execution Time,Execution Time,Execution Time,Execution Time,Guesses,Guesses,Guesses,Guesses,Backtracks,Backtracks,Backtracks,Backtracks
,,,,min,max,mean,count,min,max,mean,count,min,max,mean,count
algorithm,search,guess,Zeros,,,,,,,,,,,,
backtracking,3,2,45.0,0.2441047999891452,15.32863309996901,2.9000895380007568,50,5643.0,511028.0,89974.72,50,5598.0,510983.0,89929.72,50
backtracking,4,1,24.0,0.0118905000272207,0.0218721000128425,0.013400239999173162,50,24.0,41.0,26.18,50,0.0,17.0,2.18,50
backtracking,4,1,25.0,0.0119676999747753,0.0201781999785453,0.013907674000365612,50,25.0,57.0,30.54,50,0.0,32.0,5.54,50
backtracking,4,1,26.0,0.0119881000136956,0.026676999987103,0.01792665400076653,50,26.0,48.0,29.8,50,0.0,22.0,3.8,50
backtracking,4,1,27.0,0.0138423999887891,0.0271576999803073,0.019696089994395104,50,27.0,80.0,32.74,50,0.0,53.0,5.74,50
backtracking,4,1,28.0,0.0130164999864064,0.0258938000188209,0.01748450999963093,50,28.0,103.0,36.18,50,0.0,75.0,8.18,50
backtracking,4,1,29.0,0.0126028999802656,0.0211922000162303,0.01501223399653095,50,29.0,80.0,37.28,50,0.0,51.0,8.28,50
backtracking,4,1,30.0,0.012327299977187,0.0219084999989718,0.013673473993549082,50,30.0,431.0,51.58,50,0.0,401.0,21.58,50
backtracking,4,1,31.0,0.0121930000022985,0.0184419000288471,0.013165936000877943,50,31.0,100.0,44.82,50,0.0,69.0,13.82,50
backtracking,4,1,32.0,0.0122229999979026,0.0170160999987274,0.013300030003301757,50,32.0,105.0,46.76,50,0.0,73.0,14.76,50
backtracking,4,1,33.0,0.0121008999994956,0.0172706000157631,0.013310403998475478,50,33.0,181.0,51.14,50,0.0,148.0,18.14,50
backtracking,4,1,34.0,0.0121306999935768,0.0149652999825775,0.013050486000720367,50,34.0,106.0,50.44,50,0.0,72.0,16.44,50
backtracking,4,1,35.0,0.0119917999836616,0.0196586999809369,0.013501854002242863,50,35.0,153.0,56.24,50,0.0,118.0,21.24,50
backtracking,4,1,36.0,0.0123031000257469,0.0201852999744005,0.013534300001338082,50,37.0,221.0,75.34,50,1.0,185.0,39.34,50
backtracking,4,1,37.0,0.0122104000183753,0.0188868999830447,0.013915642000501936,50,37.0,339.0,83.22,50,0.0,302.0,46.22,50
backtracking,4,1,38.0,0.0124632999650202,0.0190880000009201,0.01430070199421603,50,38.0,414.0,98.34,50,0.0,376.0,60.34,50
backtracking,4,1,39.0,0.0123098000185564,0.0236677999491803,0.01479112400207664,50,40.0,662.0,106.14,50,1.0,623.0,67.14,50
backtracking,4,1,40.0,0.0123598999925889,0.0232492000213824,0.015268792008282574,50,42.0,719.0,162.98,50,2.0,679.0,122.98,50
backtracking,4,1,41.0,0.0126508999965153,0.0304222999839112,0.01532102800440039,50,46.0,1192.0,162.86,50,5.0,1151.0,121.86,50
backtracking,4,1,42.0,0.0128337999922223,0.0424742000177502,0.017082445997511932,50,46.0,1358.0,228.3,50,4.0,1316.0,186.3,50
backtracking,4,1,43.0,0.0129458999726921,0.0473647000035271,0.017254119999706705,50,48.0,1943.0,276.32,50,5.0,1900.0,233.32,50
backtracking,4,1,44.0,0.0130574000068008,0.0753084000316448,0.02347019599750633,50,51.0,3614.0,613.48,50,7.0,3570.0,569.48,50
backtracking,4,1,45.0,0.0128320999792777,0.1187455999897792,0.02307285199407483,50,51.0,7196.0,599.82,50,6.0,7151.0,554.82,50
backtracking,4,2,24.0,0.0118871000013314,0.0179289000225253,0.013028174001956312,50,24.0,50.0,27.28,50,0.0,26.0,3.28,50
backtracking,4,2,25.0,0.0121029000147245,0.0194461999926716,0.01385875600390132,50,25.0,79.0,29.44,50,0.0,54.0,4.44,50
backtracking,4,2,26.0,0.0118340000044554,0.0190399999846704,0.013321761992992785,50,26.0,41.0,28.58,50,0.0,15.0,2.58,50
backtracking,4,2,27.0,0.0121172000071965,0.0194686999893747,0.013361194005701647,50,27.0,65.0,33.1,50,0.0,38.0,6.1,50
backtracking,4,2,28.0,0.011988999962341,0.0180113000096753,0.013259560000151353,50,28.0,124.0,36.4,50,0.0,96.0,8.4,50
backtracking,4,2,29.0,0.0122295000473968,0.0195351000293158,0.013475030001718513,50,29.0,91.0,38.64,50,0.0,62.0,9.64,50
backtracking,4,2,30.0,0.0122911999933421,0.0226080000284127,0.013441125999670425,50,30.0,376.0,51.42,50,0.0,346.0,21.42,50
backtracking,4,2,31.0,0.0120778999989852,0.0191864999942481,0.013466852004639769,50,31.0,98.0,45.42,50,0.0,67.0,14.42,50
backtracking,4,2,32.0,0.01210190000711,0.0181202000239864,0.013231930002802943,50,32.0,105.0,44.26,50,0.0,73.0,12.26,50
