algorithm,search,guess,Zeros,Execution Timemin,Execution Timemax,Execution Timemean,Execution Timecount,Guessesmin,Guessesmax,Guessesmean,Guessescount,Backtracksmin,Backtracksmax,Backtracksmean,Backtrackscount
backtracking,bySemiZigZagBox,Random,39,0.0129432,0.0289013,0.015135384,67,42,673,113.8208955,67,3,634,74.82089552,67
backtracking,bySemiZigZagBox,Random,40,0.013062,0.0527099,0.015729789,109,40,1749,141.1926606,109,0,1709,101.1926606,109
backtracking,bySemiZigZagBox,Random,41,0.0132713,0.0642515,0.017609268,127,42,2067,210.2204724,127,1,2026,169.2204724,127
backtracking,bySemiZigZagBox,Random,42,0.0128295,0.038614,0.016992168,125,44,1108,192.344,125,2,1066,150.344,125
backtracking,bySemiZigZagBox,Random,43,0.0131597,0.1075421,0.019643231,140,43,3973,301.5428571,140,0,3930,258.5428571,140
backtracking,bySemiZigZagBox,Random,44,0.0130509,0.0875168,0.019180477,111,45,3058,281,111,1,3014,237,111
backtracking,bySemiZigZagBox,Random,45,0.0133674,0.1038677,0.022902566,175,53,3794,436.9314286,175,8,3749,391.9314286,175
backtracking,bySemiZigZagBox,Random,46,0.0133812,0.1851776,0.027100918,110,51,6856,601.2272727,110,5,6810,555.2272727,110
backtracking,byRandomBox,Sequential,36,0.0204367,0.0249077,0.022328,3,106,315,188.6666667,3,70,279,152.6666667,3
backtracking,byRandomBox,Sequential,37,0.0206607,0.0695272,0.030068873,11,90,2589,564.8181818,11,53,2552,527.8181818,11
backtracking,byRandomBox,Sequential,38,0.0190338,0.098407,0.029583236,22,54,3950,573.0454545,22,16,3912,535.0454545,22
backtracking,byRandomBox,Sequential,39,0.0190245,0.0948099,0.031247439,67,54,3791,644.1343284,67,15,3752,605.1343284,67
backtracking,byRandomBox,Sequential,40,0.0189854,0.1923985,0.040014796,109,43,8828,1085.256881,109,3,8788,1045.256881,109
backtracking,byRandomBox,Sequential,41,0.0192501,0.3978243,0.0570863,127,44,19195,1923.212598,127,3,19154,1882.212598,127
backtracking,byRandomBox,Sequential,42,0.0199177,0.3453741,0.062992686,125,68,16380,2201.488,125,26,16338,2159.488,125
backtracking,byRandomBox,Sequential,43,0.0200287,0.6462703,0.073698551,140,74,31268,2736.507143,140,31,31225,2693.507143,140
backtracking,byRandomBox,Sequential,44,0.0196185,1.3803902,0.119929541,111,97,64016,4984.342342,111,53,63972,4940.342342,111
backtracking,byRandomBox,Sequential,45,0.01948,0.9427576,0.129583156,175,59,45948,5504.125714,175,14,45903,5459.125714,175
backtracking,byRandomBox,Sequential,46,0.0204118,2.363441,0.231160883,110,73,117993,10526.69091,110,27,117947,10480.69091,110
backtracking,byRandomBox,Random,36,0.0193369,0.0784109,0.0404302,3,66,2224,833.6666667,3,30,2188,797.6666667,3
backtracking,byRandomBox,Random,37,0.0188625,0.1134201,0.035791582,11,38,3389,567.6363636,11,1,3352,530.6363636,11
backtracking,byRandomBox,Random,38,0.0210486,0.0834645,0.038903086,22,106,2478,714,22,68,2440,676,22
backtracking,byRandomBox,Random,39,0.0207493,0.1239221,0.041480645,67,76,3928,768.8208955,67,37,3889,729.8208955,67
backtracking,byRandomBox,Random,40,0.0195114,0.2291905,0.051970118,109,48,7628,1111.944954,109,8,7588,1071.944954,109
backtracking,byRandomBox,Random,41,0.0192629,0.3629042,0.068144783,127,41,12736,1741.637795,127,0,12695,1700.637795,127
backtracking,byRandomBox,Random,42,0.0205749,0.4533295,0.07879471,125,76,16123,2149.936,125,34,16081,2107.936,125
backtracking,byRandomBox,Random,43,0.0198603,1.1134141,0.099296379,140,53,41306,2985.078571,140,10,41263,2942.078571,140
backtracking,byRandomBox,Random,44,0.0219804,1.5015484,0.147493858,111,60,45488,4555.279279,111,16,45444,4511.279279,111
backtracking,byRandomBox,Random,45,0.0194589,1.2097931,0.16554897,175,61,44215,5274.462857,175,16,44170,5229.462857,175
backtracking,byRandomBox,Random,46,0.0226442,3.375417,0.328862846,110,121,110490,11374.26364,110,75,110444,11328.26364,110
